"STATISTIC","Statistic Label","TLIST(A1)","Year","C02480V03003","Type of Offence","C02479V04377","Garda Region","UNIT","VALUE"
"RCD06C01","Recorded crimes","2018","2018","08","Theft and Related Offences","30","Eastern Region","Number","12354"
"RCD06C01","Recorded crimes","2018","2018","08","Theft and Related Offences","40","Southern Region","Number","11790"
"RCD06C01","Recorded crimes","2018","2018","08","Theft and Related Offences","IE0","State","Number","66939"
"RCD06C01","Recorded crimes","2018","2018","09","Fraud, Deception and Related Offences","10","Dublin Metropolitan Region","Number","2821"
"RCD06C01","Recorded crimes","2018","2018","09","Fraud, Deception and Related Offences","20","North Western Region","Number","1070"
"RCD06C01","Recorded crimes","2018","2018","09","Fraud, Deception and Related Offences","30","Eastern Region","Number","1354"
"RCD06C01","Recorded crimes","2018","2018","09","Fraud, Deception and Related Offences","40","Southern Region","Number","1063"
"RCD06C01","Recorded crimes","2018","2018","09","Fraud, Deception and Related Offences","IE0","State","Number","6308"
"RCD06C01","Recorded crimes","2018","2018","10","Controlled Drug Offences","10","Dublin Metropolitan Region","Number","6876"
"RCD06C01","Recorded crimes","2018","2018","10","Controlled Drug Offences","20","North Western Region","Number","2209"
"RCD06C01","Recorded crimes","2018","2018","10","Controlled Drug Offences","30","Eastern Region","Number","5086"
"RCD06C01","Recorded crimes","2018","2018","10","Controlled Drug Offences","40","Southern Region","Number","4103"
"RCD06C01","Recorded crimes","2018","2018","10","Controlled Drug Offences","IE0","State","Number","18274"
"RCD06C01","Recorded crimes","2018","2018","11","Weapons and Explosives Offences","10","Dublin Metropolitan Region","Number","1147"
"RCD06C01","Recorded crimes","2018","2018","11","Weapons and Explosives Offences","20","North Western Region","Number","391"
"RCD06C01","Recorded crimes","2018","2018","11","Weapons and Explosives Offences","30","Eastern Region","Number","442"
"RCD06C01","Recorded crimes","2018","2018","11","Weapons and Explosives Offences","40","Southern Region","Number","462"
"RCD06C01","Recorded crimes","2018","2018","11","Weapons and Explosives Offences","IE0","State","Number","2442"
"RCD06C01","Recorded crimes","2018","2018","12","Damage to Property and to the Environment","10","Dublin Metropolitan Region","Number","8473"
"RCD06C01","Recorded crimes","2018","2018","12","Damage to Property and to the Environment","20","North Western Region","Number","3776"
"RCD06C01","Recorded crimes","2018","2018","12","Damage to Property and to the Environment","30","Eastern Region","Number","4714"
"RCD06C01","Recorded crimes","2018","2018","12","Damage to Property and to the Environment","40","Southern Region","Number","4552"
"RCD06C01","Recorded crimes","2018","2018","12","Damage to Property and to the Environment","IE0","State","Number","21515"
"RCD06C01","Recorded crimes","2018","2018","13","Public Order and other Social Code Offences","10","Dublin Metropolitan Region","Number","10416"
"RCD06C01","Recorded crimes","2018","2018","13","Public Order and other Social Code Offences","20","North Western Region","Number","6939"
"RCD06C01","Recorded crimes","2018","2018","13","Public Order and other Social Code Offences","30","Eastern Region","Number","5969"
"RCD06C01","Recorded crimes","2018","2018","13","Public Order and other Social Code Offences","40","Southern Region","Number","8640"
"RCD06C01","Recorded crimes","2018","2018","13","Public Order and other Social Code Offences","IE0","State","Number","31964"
"RCD06C01","Recorded crimes","2018","2018","15","Offences against Government, Justice Procedures and Organisation of Crime","10","Dublin Metropolitan Region","Number","9284"
"RCD06C01","Recorded crimes","2018","2018","15","Offences against Government, Justice Procedures and Organisation of Crime","20","North Western Region","Number","1621"
"RCD06C01","Recorded crimes","2018","2018","15","Offences against Government, Justice Procedures and Organisation of Crime","30","Eastern Region","Number","2579"
"RCD06C01","Recorded crimes","2018","2018","15","Offences against Government, Justice Procedures and Organisation of Crime","40","Southern Region","Number","3101"
"RCD06C01","Recorded crimes","2018","2018","15","Offences against Government, Justice Procedures and Organisation of Crime","IE0","State","Number","16585"
"RCD06C01","Recorded crimes","2019","2019","01","Homicide Offences","10","Dublin Metropolitan Region","Number","25"
"RCD06C01","Recorded crimes","2019","2019","01","Homicide Offences","20","North Western Region","Number","12"
"RCD06C01","Recorded crimes","2019","2019","01","Homicide Offences","30","Eastern Region","Number","11"
"RCD06C01","Recorded crimes","2019","2019","01","Homicide Offences","40","Southern Region","Number","16"
"RCD06C01","Recorded crimes","2019","2019","01","Homicide Offences","IE0","State","Number","64"
"RCD06C01","Recorded crimes","2019","2019","02","Sexual Offences","10","Dublin Metropolitan Region","Number","1055"
"RCD06C01","Recorded crimes","2019","2019","02","Sexual Offences","20","North Western Region","Number","717"
"RCD06C01","Recorded crimes","2019","2019","02","Sexual Offences","30","Eastern Region","Number","831"
"RCD06C01","Recorded crimes","2019","2019","02","Sexual Offences","40","Southern Region","Number","757"
"RCD06C01","Recorded crimes","2019","2019","02","Sexual Offences","IE0","State","Number","3360"
"RCD06C01","Recorded crimes","2019","2019","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","10","Dublin Metropolitan Region","Number","7474"
"RCD06C01","Recorded crimes","2019","2019","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","20","North Western Region","Number","4622"
"RCD06C01","Recorded crimes","2019","2019","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","30","Eastern Region","Number","4724"
"RCD06C01","Recorded crimes","2019","2019","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","40","Southern Region","Number","5019"
"RCD06C01","Recorded crimes","2019","2019","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","IE0","State","Number","21839"
"RCD06C01","Recorded crimes","2019","2019","04","Dangerous or Negligent Acts","10","Dublin Metropolitan Region","Number","1977"
"RCD06C01","Recorded crimes","2019","2019","04","Dangerous or Negligent Acts","20","North Western Region","Number","2131"
"RCD06C01","Recorded crimes","2019","2019","04","Dangerous or Negligent Acts","30","Eastern Region","Number","2345"
"RCD06C01","Recorded crimes","2019","2019","04","Dangerous or Negligent Acts","40","Southern Region","Number","2250"
"RCD06C01","Recorded crimes","2019","2019","04","Dangerous or Negligent Acts","IE0","State","Number","8703"
"RCD06C01","Recorded crimes","2019","2019","05","Kidnapping and Related Offences","10","Dublin Metropolitan Region","Number","39"
"RCD06C01","Recorded crimes","2019","2019","05","Kidnapping and Related Offences","20","North Western Region","Number","27"
"RCD06C01","Recorded crimes","2019","2019","05","Kidnapping and Related Offences","30","Eastern Region","Number","20"
"RCD06C01","Recorded crimes","2019","2019","05","Kidnapping and Related Offences","40","Southern Region","Number","41"
"RCD06C01","Recorded crimes","2019","2019","05","Kidnapping and Related Offences","IE0","State","Number","127"
"RCD06C01","Recorded crimes","2019","2019","06","Robbery, Extortion and Hijacking Offences","10","Dublin Metropolitan Region","Number","1592"
"RCD06C01","Recorded crimes","2019","2019","06","Robbery, Extortion and Hijacking Offences","20","North Western Region","Number","222"
"RCD06C01","Recorded crimes","2019","2019","06","Robbery, Extortion and Hijacking Offences","30","Eastern Region","Number","254"
"RCD06C01","Recorded crimes","2019","2019","06","Robbery, Extortion and Hijacking Offences","40","Southern Region","Number","276"
"RCD06C01","Recorded crimes","2019","2019","06","Robbery, Extortion and Hijacking Offences","IE0","State","Number","2344"
"RCD06C01","Recorded crimes","2019","2019","07","Burglary and Related Offences","10","Dublin Metropolitan Region","Number","7721"
"RCD06C01","Recorded crimes","2019","2019","07","Burglary and Related Offences","20","North Western Region","Number","2346"
"RCD06C01","Recorded crimes","2019","2019","07","Burglary and Related Offences","30","Eastern Region","Number","4178"
"RCD06C01","Recorded crimes","2019","2019","07","Burglary and Related Offences","40","Southern Region","Number","2504"
"RCD06C01","Recorded crimes","2019","2019","07","Burglary and Related Offences","IE0","State","Number","16749"
"RCD06C01","Recorded crimes","2019","2019","08","Theft and Related Offences","10","Dublin Metropolitan Region","Number","37020"
"RCD06C01","Recorded crimes","2019","2019","08","Theft and Related Offences","20","North Western Region","Number","7433"
"RCD06C01","Recorded crimes","2019","2019","08","Theft and Related Offences","30","Eastern Region","Number","12603"
"RCD06C01","Recorded crimes","2019","2019","08","Theft and Related Offences","40","Southern Region","Number","11125"
"RCD06C01","Recorded crimes","2019","2019","08","Theft and Related Offences","IE0","State","Number","68181"
"RCD06C01","Recorded crimes","2019","2019","09","Fraud, Deception and Related Offences","10","Dublin Metropolitan Region","Number","3518"
"RCD06C01","Recorded crimes","2019","2019","09","Fraud, Deception and Related Offences","20","North Western Region","Number","1337"
"RCD06C01","Recorded crimes","2019","2019","09","Fraud, Deception and Related Offences","30","Eastern Region","Number","1611"
"RCD06C01","Recorded crimes","2019","2019","09","Fraud, Deception and Related Offences","40","Southern Region","Number","1456"
"RCD06C01","Recorded crimes","2019","2019","09","Fraud, Deception and Related Offences","IE0","State","Number","7922"
"RCD06C01","Recorded crimes","2019","2019","10","Controlled Drug Offences","10","Dublin Metropolitan Region","Number","8355"
"RCD06C01","Recorded crimes","2019","2019","10","Controlled Drug Offences","20","North Western Region","Number","2806"
"RCD06C01","Recorded crimes","2019","2019","10","Controlled Drug Offences","30","Eastern Region","Number","5825"
"RCD06C01","Recorded crimes","2019","2019","10","Controlled Drug Offences","40","Southern Region","Number","4322"
"RCD06C01","Recorded crimes","2019","2019","10","Controlled Drug Offences","IE0","State","Number","21308"
"RCD06C01","Recorded crimes","2019","2019","11","Weapons and Explosives Offences","10","Dublin Metropolitan Region","Number","1255"
"RCD06C01","Recorded crimes","2019","2019","11","Weapons and Explosives Offences","20","North Western Region","Number","455"
"RCD06C01","Recorded crimes","2019","2019","11","Weapons and Explosives Offences","30","Eastern Region","Number","474"
"RCD06C01","Recorded crimes","2019","2019","11","Weapons and Explosives Offences","40","Southern Region","Number","503"
"RCD06C01","Recorded crimes","2019","2019","11","Weapons and Explosives Offences","IE0","State","Number","2687"
"RCD06C01","Recorded crimes","2019","2019","12","Damage to Property and to the Environment","10","Dublin Metropolitan Region","Number","8866"
"RCD06C01","Recorded crimes","2019","2019","12","Damage to Property and to the Environment","20","North Western Region","Number","3968"
"RCD06C01","Recorded crimes","2019","2019","12","Damage to Property and to the Environment","30","Eastern Region","Number","4653"
"RCD06C01","Recorded crimes","2019","2019","12","Damage to Property and to the Environment","40","Southern Region","Number","4431"
"RCD06C01","Recorded crimes","2019","2019","12","Damage to Property and to the Environment","IE0","State","Number","21918"
"RCD06C01","Recorded crimes","2019","2019","13","Public Order and other Social Code Offences","10","Dublin Metropolitan Region","Number","10929"
"RCD06C01","Recorded crimes","2019","2019","13","Public Order and other Social Code Offences","20","North Western Region","Number","7262"
"RCD06C01","Recorded crimes","2019","2019","13","Public Order and other Social Code Offences","30","Eastern Region","Number","6229"
"RCD06C01","Recorded crimes","2019","2019","13","Public Order and other Social Code Offences","40","Southern Region","Number","7970"
"RCD06C01","Recorded crimes","2019","2019","13","Public Order and other Social Code Offences","IE0","State","Number","32390"
"RCD06C01","Recorded crimes","2019","2019","15","Offences against Government, Justice Procedures and Organisation of Crime","10","Dublin Metropolitan Region","Number","10309"
"RCD06C01","Recorded crimes","2019","2019","15","Offences against Government, Justice Procedures and Organisation of Crime","20","North Western Region","Number","2159"
"RCD06C01","Recorded crimes","2019","2019","15","Offences against Government, Justice Procedures and Organisation of Crime","30","Eastern Region","Number","2863"
"RCD06C01","Recorded crimes","2019","2019","15","Offences against Government, Justice Procedures and Organisation of Crime","40","Southern Region","Number","2742"
"RCD06C01","Recorded crimes","2019","2019","15","Offences against Government, Justice Procedures and Organisation of Crime","IE0","State","Number","18073"
"RCD06C01","Recorded crimes","2020","2020","01","Homicide Offences","10","Dublin Metropolitan Region","Number","23"
"RCD06C01","Recorded crimes","2020","2020","01","Homicide Offences","20","North Western Region","Number","14"
"RCD06C01","Recorded crimes","2020","2020","01","Homicide Offences","30","Eastern Region","Number","16"
"RCD06C01","Recorded crimes","2020","2020","01","Homicide Offences","40","Southern Region","Number","19"
"RCD06C01","Recorded crimes","2020","2020","01","Homicide Offences","IE0","State","Number","72"
"RCD06C01","Recorded crimes","2020","2020","02","Sexual Offences","10","Dublin Metropolitan Region","Number","956"
"RCD06C01","Recorded crimes","2020","2020","02","Sexual Offences","20","North Western Region","Number","620"
"RCD06C01","Recorded crimes","2020","2020","02","Sexual Offences","30","Eastern Region","Number","817"
"RCD06C01","Recorded crimes","2020","2020","02","Sexual Offences","40","Southern Region","Number","689"
"RCD06C01","Recorded crimes","2020","2020","02","Sexual Offences","IE0","State","Number","3082"
"RCD06C01","Recorded crimes","2020","2020","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","10","Dublin Metropolitan Region","Number","6672"
"RCD06C01","Recorded crimes","2020","2020","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","20","North Western Region","Number","4013"
"RCD06C01","Recorded crimes","2020","2020","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","30","Eastern Region","Number","4229"
"RCD06C01","Recorded crimes","2020","2020","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","40","Southern Region","Number","4157"
"RCD06C01","Recorded crimes","2020","2020","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","IE0","State","Number","19071"
"RCD06C01","Recorded crimes","2020","2020","04","Dangerous or Negligent Acts","10","Dublin Metropolitan Region","Number","2432"
"RCD06C01","Recorded crimes","2020","2020","04","Dangerous or Negligent Acts","20","North Western Region","Number","2108"
"RCD06C01","Recorded crimes","2020","2020","04","Dangerous or Negligent Acts","30","Eastern Region","Number","2139"
"RCD06C01","Recorded crimes","2020","2020","04","Dangerous or Negligent Acts","40","Southern Region","Number","2067"
"RCD06C01","Recorded crimes","2020","2020","04","Dangerous or Negligent Acts","IE0","State","Number","8746"
"RCD06C01","Recorded crimes","2020","2020","05","Kidnapping and Related Offences","10","Dublin Metropolitan Region","Number","52"
"RCD06C01","Recorded crimes","2020","2020","05","Kidnapping and Related Offences","20","North Western Region","Number","38"
"RCD06C01","Recorded crimes","2020","2020","05","Kidnapping and Related Offences","30","Eastern Region","Number","23"
"RCD06C01","Recorded crimes","2020","2020","05","Kidnapping and Related Offences","40","Southern Region","Number","21"
"RCD06C01","Recorded crimes","2020","2020","05","Kidnapping and Related Offences","IE0","State","Number","134"
"RCD06C01","Recorded crimes","2020","2020","06","Robbery, Extortion and Hijacking Offences","10","Dublin Metropolitan Region","Number","1272"
"RCD06C01","Recorded crimes","2020","2020","06","Robbery, Extortion and Hijacking Offences","20","North Western Region","Number","133"
"RCD06C01","Recorded crimes","2020","2020","06","Robbery, Extortion and Hijacking Offences","30","Eastern Region","Number","213"
"RCD06C01","Recorded crimes","2020","2020","06","Robbery, Extortion and Hijacking Offences","40","Southern Region","Number","201"
"RCD06C01","Recorded crimes","2020","2020","06","Robbery, Extortion and Hijacking Offences","IE0","State","Number","1819"
"RCD06C01","Recorded crimes","2020","2020","07","Burglary and Related Offences","10","Dublin Metropolitan Region","Number","5143"
"RCD06C01","Recorded crimes","2020","2020","07","Burglary and Related Offences","20","North Western Region","Number","1545"
"RCD06C01","Recorded crimes","2020","2020","07","Burglary and Related Offences","30","Eastern Region","Number","2400"
"RCD06C01","Recorded crimes","2020","2020","07","Burglary and Related Offences","40","Southern Region","Number","1797"
"RCD06C01","Recorded crimes","2020","2020","07","Burglary and Related Offences","IE0","State","Number","10885"
"RCD06C01","Recorded crimes","2020","2020","08","Theft and Related Offences","10","Dublin Metropolitan Region","Number","27607"
"RCD06C01","Recorded crimes","2020","2020","08","Theft and Related Offences","20","North Western Region","Number","5826"
"RCD06C01","Recorded crimes","2020","2020","08","Theft and Related Offences","30","Eastern Region","Number","9205"
"RCD06C01","Recorded crimes","2020","2020","08","Theft and Related Offences","40","Southern Region","Number","8868"
"RCD06C01","Recorded crimes","2020","2020","08","Theft and Related Offences","IE0","State","Number","51506"
"RCD06C01","Recorded crimes","2020","2020","09","Fraud, Deception and Related Offences","10","Dublin Metropolitan Region","Number","3308"
"RCD06C01","Recorded crimes","2020","2020","09","Fraud, Deception and Related Offences","20","North Western Region","Number","1450"
"RCD06C01","Recorded crimes","2020","2020","09","Fraud, Deception and Related Offences","30","Eastern Region","Number","1654"
"RCD06C01","Recorded crimes","2020","2020","09","Fraud, Deception and Related Offences","40","Southern Region","Number","1452"
"RCD06C01","Recorded crimes","2020","2020","09","Fraud, Deception and Related Offences","IE0","State","Number","7864"
"RCD06C01","Recorded crimes","2020","2020","10","Controlled Drug Offences","10","Dublin Metropolitan Region","Number","9632"
"RCD06C01","Recorded crimes","2020","2020","10","Controlled Drug Offences","20","North Western Region","Number","3398"
"RCD06C01","Recorded crimes","2020","2020","10","Controlled Drug Offences","30","Eastern Region","Number","4950"
"RCD06C01","Recorded crimes","2020","2020","10","Controlled Drug Offences","40","Southern Region","Number","5142"
"RCD06C01","Recorded crimes","2020","2020","10","Controlled Drug Offences","IE0","State","Number","23122"
"RCD06C01","Recorded crimes","2020","2020","11","Weapons and Explosives Offences","10","Dublin Metropolitan Region","Number","1357"
"RCD06C01","Recorded crimes","2020","2020","11","Weapons and Explosives Offences","20","North Western Region","Number","509"
"RCD06C01","Recorded crimes","2020","2020","11","Weapons and Explosives Offences","30","Eastern Region","Number","605"
"RCD06C01","Recorded crimes","2020","2020","11","Weapons and Explosives Offences","40","Southern Region","Number","621"
"RCD06C01","Recorded crimes","2020","2020","11","Weapons and Explosives Offences","IE0","State","Number","3092"
"RCD06C01","Recorded crimes","2020","2020","12","Damage to Property and to the Environment","10","Dublin Metropolitan Region","Number","7854"
"RCD06C01","Recorded crimes","2020","2020","12","Damage to Property and to the Environment","20","North Western Region","Number","3522"
"RCD06C01","Recorded crimes","2020","2020","12","Damage to Property and to the Environment","30","Eastern Region","Number","4280"
"RCD06C01","Recorded crimes","2020","2020","12","Damage to Property and to the Environment","40","Southern Region","Number","3870"
"RCD06C01","Recorded crimes","2020","2020","12","Damage to Property and to the Environment","IE0","State","Number","19526"
"RCD06C01","Recorded crimes","2020","2020","13","Public Order and other Social Code Offences","10","Dublin Metropolitan Region","Number","11481"
"RCD06C01","Recorded crimes","2020","2020","13","Public Order and other Social Code Offences","20","North Western Region","Number","5544"
"RCD06C01","Recorded crimes","2020","2020","13","Public Order and other Social Code Offences","30","Eastern Region","Number","5189"
"RCD06C01","Recorded crimes","2020","2020","13","Public Order and other Social Code Offences","40","Southern Region","Number","6812"
"RCD06C01","Recorded crimes","2020","2020","13","Public Order and other Social Code Offences","IE0","State","Number","29026"
"RCD06C01","Recorded crimes","2020","2020","15","Offences against Government, Justice Procedures and Organisation of Crime","10","Dublin Metropolitan Region","Number","5149"
"RCD06C01","Recorded crimes","2020","2020","15","Offences against Government, Justice Procedures and Organisation of Crime","20","North Western Region","Number","1480"
"RCD06C01","Recorded crimes","2020","2020","15","Offences against Government, Justice Procedures and Organisation of Crime","30","Eastern Region","Number","2061"
"RCD06C01","Recorded crimes","2020","2020","15","Offences against Government, Justice Procedures and Organisation of Crime","40","Southern Region","Number","2311"
"RCD06C01","Recorded crimes","2020","2020","15","Offences against Government, Justice Procedures and Organisation of Crime","IE0","State","Number","11001"
"RCD06C01","Recorded crimes","2021","2021","01","Homicide Offences","10","Dublin Metropolitan Region","Number","19"
"RCD06C01","Recorded crimes","2021","2021","01","Homicide Offences","20","North Western Region","Number","12"
"RCD06C01","Recorded crimes","2021","2021","01","Homicide Offences","30","Eastern Region","Number","12"
"RCD06C01","Recorded crimes","2021","2021","01","Homicide Offences","40","Southern Region","Number","13"
"RCD06C01","Recorded crimes","2021","2021","01","Homicide Offences","IE0","State","Number","56"
"RCD06C01","Recorded crimes","2021","2021","02","Sexual Offences","10","Dublin Metropolitan Region","Number","1071"
"RCD06C01","Recorded crimes","2021","2021","02","Sexual Offences","20","North Western Region","Number","766"
"RCD06C01","Recorded crimes","2021","2021","02","Sexual Offences","30","Eastern Region","Number","901"
"RCD06C01","Recorded crimes","2021","2021","02","Sexual Offences","40","Southern Region","Number","792"
"RCD06C01","Recorded crimes","2021","2021","02","Sexual Offences","IE0","State","Number","3530"
"RCD06C01","Recorded crimes","2021","2021","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","10","Dublin Metropolitan Region","Number","6731"
"RCD06C01","Recorded crimes","2021","2021","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","20","North Western Region","Number","4414"
"RCD06C01","Recorded crimes","2021","2021","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","30","Eastern Region","Number","4597"
"RCD06C01","Recorded crimes","2021","2021","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","40","Southern Region","Number","4574"
"RCD06C01","Recorded crimes","2021","2021","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","IE0","State","Number","20316"
"RCD06C01","Recorded crimes","2021","2021","04","Dangerous or Negligent Acts","10","Dublin Metropolitan Region","Number","2136"
"RCD06C01","Recorded crimes","2021","2021","04","Dangerous or Negligent Acts","20","North Western Region","Number","2149"
"RCD06C01","Recorded crimes","2021","2021","04","Dangerous or Negligent Acts","30","Eastern Region","Number","2039"
"RCD06C01","Recorded crimes","2021","2021","04","Dangerous or Negligent Acts","40","Southern Region","Number","1956"
"RCD06C01","Recorded crimes","2021","2021","04","Dangerous or Negligent Acts","IE0","State","Number","8280"
"RCD06C01","Recorded crimes","2021","2021","05","Kidnapping and Related Offences","10","Dublin Metropolitan Region","Number","43"
"RCD06C01","Recorded crimes","2021","2021","05","Kidnapping and Related Offences","20","North Western Region","Number","30"
"RCD06C01","Recorded crimes","2021","2021","05","Kidnapping and Related Offences","30","Eastern Region","Number","39"
"RCD06C01","Recorded crimes","2021","2021","05","Kidnapping and Related Offences","40","Southern Region","Number","36"
"RCD06C01","Recorded crimes","2021","2021","05","Kidnapping and Related Offences","IE0","State","Number","148"
"RCD06C01","Recorded crimes","2021","2021","06","Robbery, Extortion and Hijacking Offences","10","Dublin Metropolitan Region","Number","1151"
"RCD06C01","Recorded crimes","2021","2021","06","Robbery, Extortion and Hijacking Offences","20","North Western Region","Number","168"
"RCD06C01","Recorded crimes","2021","2021","06","Robbery, Extortion and Hijacking Offences","30","Eastern Region","Number","229"
"RCD06C01","Recorded crimes","2021","2021","06","Robbery, Extortion and Hijacking Offences","40","Southern Region","Number","190"
"RCD06C01","Recorded crimes","2021","2021","06","Robbery, Extortion and Hijacking Offences","IE0","State","Number","1738"
"RCD06C01","Recorded crimes","2021","2021","07","Burglary and Related Offences","10","Dublin Metropolitan Region","Number","3585"
"RCD06C01","Recorded crimes","2021","2021","07","Burglary and Related Offences","20","North Western Region","Number","1378"
"RCD06C01","Recorded crimes","2021","2021","07","Burglary and Related Offences","30","Eastern Region","Number","2200"
"RCD06C01","Recorded crimes","2021","2021","07","Burglary and Related Offences","40","Southern Region","Number","1420"
"RCD06C01","Recorded crimes","2021","2021","07","Burglary and Related Offences","IE0","State","Number","8583"
"RCD06C01","Recorded crimes","2021","2021","08","Theft and Related Offences","10","Dublin Metropolitan Region","Number","25218"
"RCD06C01","Recorded crimes","2021","2021","08","Theft and Related Offences","20","North Western Region","Number","5180"
"RCD06C01","Recorded crimes","2021","2021","08","Theft and Related Offences","30","Eastern Region","Number","8367"
"RCD06C01","Recorded crimes","2021","2021","08","Theft and Related Offences","40","Southern Region","Number","8046"
"RCD06C01","Recorded crimes","2021","2021","08","Theft and Related Offences","IE0","State","Number","46811"
"RCD06C01","Recorded crimes","2021","2021","09","Fraud, Deception and Related Offences","10","Dublin Metropolitan Region","Number","6173"
"RCD06C01","Recorded crimes","2021","2021","09","Fraud, Deception and Related Offences","20","North Western Region","Number","3464"
"RCD06C01","Recorded crimes","2021","2021","09","Fraud, Deception and Related Offences","30","Eastern Region","Number","3953"
"RCD06C01","Recorded crimes","2021","2021","09","Fraud, Deception and Related Offences","40","Southern Region","Number","3585"
"RCD06C01","Recorded crimes","2021","2021","09","Fraud, Deception and Related Offences","IE0","State","Number","17175"
