statistic,statistic_label,tlist(a1),year,c02480v03003,type_of_offence,c02479v04377,garda_region,unit,value
RCD06C01,Recorded crimes,2019,2019,4,Dangerous or Negligent Acts,30,Eastern Region,Number,2345.0
RCD06C01,Recorded crimes,2019,2019,4,Dangerous or Negligent Acts,40,Southern Region,Number,2250.0
RCD06C01,Recorded crimes,2019,2019,4,Dangerous or Negligent Acts,IE0,State,Number,8703.0
RCD06C01,Recorded crimes,2019,2019,5,Kidnapping and Related Offences,10,Dublin Metropolitan Region,Number,39.0
RCD06C01,Recorded crimes,2019,2019,5,Kidnapping and Related Offences,20,North Western Region,Number,27.0
RCD06C01,Recorded crimes,2019,2019,5,Kidnapping and Related Offences,30,Eastern Region,Number,20.0
RCD06C01,Recorded crimes,2019,2019,5,Kidnapping and Related Offences,40,Southern Region,Number,41.0
RCD06C01,Recorded crimes,2019,2019,5,Kidnapping and Related Offences,IE0,State,Number,127.0
RCD06C01,Recorded crimes,2019,2019,6,"Robbery, Extortion and Hijacking Offences",10,Dublin Metropolitan Region,Number,1592.0
RCD06C01,Recorded crimes,2019,2019,6,"Robbery, Extortion and Hijacking Offences",20,North Western Region,Number,222.0
RCD06C01,Recorded crimes,2019,2019,6,"Robbery, Extortion and Hijacking Offences",30,Eastern Region,Number,254.0
RCD06C01,Recorded crimes,2019,2019,6,"Robbery, Extortion and Hijacking Offences",40,Southern Region,Number,276.0
RCD06C01,Recorded crimes,2019,2019,6,"Robbery, Extortion and Hijacking Offences",IE0,State,Number,2344.0
RCD06C01,Recorded crimes,2019,2019,7,Burglary and Related Offences,10,Dublin Metropolitan Region,Number,7721.0
RCD06C01,Recorded crimes,2019,2019,7,Burglary and Related Offences,20,North Western Region,Number,2346.0
RCD06C01,Recorded crimes,2019,2019,7,Burglary and Related Offences,30,Eastern Region,Number,4178.0
RCD06C01,Recorded crimes,2019,2019,7,Burglary and Related Offences,40,Southern Region,Number,2504.0
RCD06C01,Recorded crimes,2019,2019,7,Burglary and Related Offences,IE0,State,Number,16749.0
RCD06C01,Recorded crimes,2019,2019,8,Theft and Related Offences,10,Dublin Metropolitan Region,Number,37020.0
RCD06C01,Recorded crimes,2019,2019,8,Theft and Related Offences,20,North Western Region,Number,7433.0
RCD06C01,Recorded crimes,2019,2019,8,Theft and Related Offences,30,Eastern Region,Number,12603.0
RCD06C01,Recorded crimes,2019,2019,8,Theft and Related Offences,40,Southern Region,Number,11125.0
RCD06C01,Recorded crimes,2019,2019,8,Theft and Related Offences,IE0,State,Number,68181.0
RCD06C01,Recorded crimes,2019,2019,9,"Fraud, Deception and Related Offences",10,Dublin Metropolitan Region,Number,3518.0
RCD06C01,Recorded crimes,2019,2019,9,"Fraud, Deception and Related Offences",20,North Western Region,Number,1337.0
RCD06C01,Recorded crimes,2019,2019,9,"Fraud, Deception and Related Offences",30,Eastern Region,Number,1611.0
RCD06C01,Recorded crimes,2019,2019,9,"Fraud, Deception and Related Offences",40,Southern Region,Number,1456.0
RCD06C01,Recorded crimes,2019,2019,9,"Fraud, Deception and Related Offences",IE0,State,Number,7922.0
RCD06C01,Recorded crimes,2019,2019,10,Controlled Drug Offences,10,Dublin Metropolitan Region,Number,8355.0
RCD06C01,Recorded crimes,2019,2019,10,Controlled Drug Offences,20,North Western Region,Number,2806.0
RCD06C01,Recorded crimes,2019,2019,10,Controlled Drug Offences,30,Eastern Region,Number,5825.0
RCD06C01,Recorded crimes,2019,2019,10,Controlled Drug Offences,40,Southern Region,Number,4322.0
RCD06C01,Recorded crimes,2019,2019,10,Controlled Drug Offences,IE0,State,Number,21308.0
RCD06C01,Recorded crimes,2019,2019,11,Weapons and Explosives Offences,10,Dublin Metropolitan Region,Number,1255.0
RCD06C01,Recorded crimes,2019,2019,11,Weapons and Explosives Offences,20,North Western Region,Number,455.0
RCD06C01,Recorded crimes,2019,2019,11,Weapons and Explosives Offences,30,Eastern Region,Number,474.0
RCD06C01,Recorded crimes,2019,2019,11,Weapons and Explosives Offences,40,Southern Region,Number,503.0
RCD06C01,Recorded crimes,2019,2019,11,Weapons and Explosives Offences,IE0,State,Number,2687.0
RCD06C01,Recorded crimes,2019,2019,12,Damage to Property and to the Environment,10,Dublin Metropolitan Region,Number,8866.0
RCD06C01,Recorded crimes,2019,2019,12,Damage to Property and to the Environment,20,North Western Region,Number,3968.0
RCD06C01,Recorded crimes,2019,2019,12,Damage to Property and to the Environment,30,Eastern Region,Number,4653.0
RCD06C01,Recorded crimes,2019,2019,12,Damage to Property and to the Environment,40,Southern Region,Number,4431.0
RCD06C01,Recorded crimes,2019,2019,12,Damage to Property and to the Environment,IE0,State,Number,21918.0
RCD06C01,Recorded crimes,2019,2019,13,Public Order and other Social Code Offences,10,Dublin Metropolitan Region,Number,10929.0
RCD06C01,Recorded crimes,2019,2019,13,Public Order and other Social Code Offences,20,North Western Region,Number,7262.0
RCD06C01,Recorded crimes,2019,2019,13,Public Order and other Social Code Offences,30,Eastern Region,Number,6229.0
RCD06C01,Recorded crimes,2019,2019,13,Public Order and other Social Code Offences,40,Southern Region,Number,7970.0
RCD06C01,Recorded crimes,2019,2019,13,Public Order and other Social Code Offences,IE0,State,Number,32390.0
RCD06C01,Recorded crimes,2019,2019,15,"Offences against Government, Justice Procedures and Organisation of Crime",10,Dublin Metropolitan Region,Number,10309.0
RCD06C01,Recorded crimes,2019,2019,15,"Offences against Government, Justice Procedures and Organisation of Crime",20,North Western Region,Number,2159.0
RCD06C01,Recorded crimes,2019,2019,15,"Offences against Government, Justice Procedures and Organisation of Crime",30,Eastern Region,Number,2863.0
RCD06C01,Recorded crimes,2019,2019,15,"Offences against Government, Justice Procedures and Organisation of Crime",40,Southern Region,Number,2742.0
RCD06C01,Recorded crimes,2019,2019,15,"Offences against Government, Justice Procedures and Organisation of Crime",IE0,State,Number,18073.0
RCD06C01,Recorded crimes,2020,2020,1,Homicide Offences,10,Dublin Metropolitan Region,Number,23.0
RCD06C01,Recorded crimes,2020,2020,1,Homicide Offences,20,North Western Region,Number,14.0
RCD06C01,Recorded crimes,2020,2020,1,Homicide Offences,30,Eastern Region,Number,16.0
RCD06C01,Recorded crimes,2020,2020,1,Homicide Offences,40,Southern Region,Number,19.0
RCD06C01,Recorded crimes,2020,2020,1,Homicide Offences,IE0,State,Number,72.0
RCD06C01,Recorded crimes,2020,2020,2,Sexual Offences,10,Dublin Metropolitan Region,Number,956.0
RCD06C01,Recorded crimes,2020,2020,2,Sexual Offences,20,North Western Region,Number,620.0
RCD06C01,Recorded crimes,2020,2020,2,Sexual Offences,30,Eastern Region,Number,817.0
RCD06C01,Recorded crimes,2020,2020,2,Sexual Offences,40,Southern Region,Number,689.0
RCD06C01,Recorded crimes,2020,2020,2,Sexual Offences,IE0,State,Number,3082.0
RCD06C01,Recorded crimes,2020,2020,3,"Attempts/Threats to Murder, Assaults, Harassment and Related offences",10,Dublin Metropolitan Region,Number,6672.0
RCD06C01,Recorded crimes,2020,2020,3,"Attempts/Threats to Murder, Assaults, Harassment and Related offences",20,North Western Region,Number,4013.0
RCD06C01,Recorded crimes,2020,2020,3,"Attempts/Threats to Murder, Assaults, Harassment and Related offences",30,Eastern Region,Number,4229.0
RCD06C01,Recorded crimes,2020,2020,3,"Attempts/Threats to Murder, Assaults, Harassment and Related offences",40,Southern Region,Number,4157.0
RCD06C01,Recorded crimes,2020,2020,3,"Attempts/Threats to Murder, Assaults, Harassment and Related offences",IE0,State,Number,19071.0
RCD06C01,Recorded crimes,2020,2020,4,Dangerous or Negligent Acts,10,Dublin Metropolitan Region,Number,2432.0
RCD06C01,Recorded crimes,2020,2020,4,Dangerous or Negligent Acts,20,North Western Region,Number,2108.0
RCD06C01,Recorded crimes,2020,2020,4,Dangerous or Negligent Acts,30,Eastern Region,Number,2139.0
RCD06C01,Recorded crimes,2020,2020,4,Dangerous or Negligent Acts,40,Southern Region,Number,2067.0
RCD06C01,Recorded crimes,2020,2020,4,Dangerous or Negligent Acts,IE0,State,Number,8746.0
RCD06C01,Recorded crimes,2020,2020,5,Kidnapping and Related Offences,10,Dublin Metropolitan Region,Number,52.0
RCD06C01,Recorded crimes,2020,2020,5,Kidnapping and Related Offences,20,North Western Region,Number,38.0
RCD06C01,Recorded crimes,2020,2020,5,Kidnapping and Related Offences,30,Eastern Region,Number,23.0
RCD06C01,Recorded crimes,2020,2020,5,Kidnapping and Related Offences,40,Southern Region,Number,21.0
RCD06C01,Recorded crimes,2020,2020,5,Kidnapping and Related Offences,IE0,State,Number,134.0
RCD06C01,Recorded crimes,2020,2020,6,"Robbery, Extortion and Hijacking Offences",10,Dublin Metropolitan Region,Number,1272.0
RCD06C01,Recorded crimes,2020,2020,6,"Robbery, Extortion and Hijacking Offences",20,North Western Region,Number,133.0
RCD06C01,Recorded crimes,2020,2020,6,"Robbery, Extortion and Hijacking Offences",30,Eastern Region,Number,213.0
RCD06C01,Recorded crimes,2020,2020,6,"Robbery, Extortion and Hijacking Offences",40,Southern Region,Number,201.0
RCD06C01,Recorded crimes,2020,2020,6,"Robbery, Extortion and Hijacking Offences",IE0,State,Number,1819.0
RCD06C01,Recorded crimes,2020,2020,7,Burglary and Related Offences,10,Dublin Metropolitan Region,Number,5143.0
RCD06C01,Recorded crimes,2020,2020,7,Burglary and Related Offences,20,North Western Region,Number,1545.0
RCD06C01,Recorded crimes,2020,2020,7,Burglary and Related Offences,30,Eastern Region,Number,2400.0
RCD06C01,Recorded crimes,2020,2020,7,Burglary and Related Offences,40,Southern Region,Number,1797.0
RCD06C01,Recorded crimes,2020,2020,7,Burglary and Related Offences,IE0,State,Number,10885.0
RCD06C01,Recorded crimes,2020,2020,8,Theft and Related Offences,10,Dublin Metropolitan Region,Number,27607.0
RCD06C01,Recorded crimes,2020,2020,8,Theft and Related Offences,20,North Western Region,Number,5826.0
RCD06C01,Recorded crimes,2020,2020,8,Theft and Related Offences,30,Eastern Region,Number,9205.0
RCD06C01,Recorded crimes,2020,2020,8,Theft and Related Offences,40,Southern Region,Number,8868.0
RCD06C01,Recorded crimes,2020,2020,8,Theft and Related Offences,IE0,State,Number,51506.0
RCD06C01,Recorded crimes,2020,2020,9,"Fraud, Deception and Related Offences",10,Dublin Metropolitan Region,Number,3308.0
RCD06C01,Recorded crimes,2020,2020,9,"Fraud, Deception and Related Offences",20,North Western Region,Number,1450.0
RCD06C01,Recorded crimes,2020,2020,9,"Fraud, Deception and Related Offences",30,Eastern Region,Number,1654.0
RCD06C01,Recorded crimes,2020,2020,9,"Fraud, Deception and Related Offences",40,Southern Region,Number,1452.0
RCD06C01,Recorded crimes,2020,2020,9,"Fraud, Deception and Related Offences",IE0,State,Number,7864.0
RCD06C01,Recorded crimes,2020,2020,10,Controlled Drug Offences,10,Dublin Metropolitan Region,Number,9632.0
RCD06C01,Recorded crimes,2020,2020,10,Controlled Drug Offences,20,North Western Region,Number,3398.0
RCD06C01,Recorded crimes,2020,2020,10,Controlled Drug Offences,30,Eastern Region,Number,4950.0
RCD06C01,Recorded crimes,2020,2020,10,Controlled Drug Offences,40,Southern Region,Number,5142.0
RCD06C01,Recorded crimes,2020,2020,10,Controlled Drug Offences,IE0,State,Number,23122.0
RCD06C01,Recorded crimes,2020,2020,11,Weapons and Explosives Offences,10,Dublin Metropolitan Region,Number,1357.0
RCD06C01,Recorded crimes,2020,2020,11,Weapons and Explosives Offences,20,North Western Region,Number,509.0
RCD06C01,Recorded crimes,2020,2020,11,Weapons and Explosives Offences,30,Eastern Region,Number,605.0
RCD06C01,Recorded crimes,2020,2020,11,Weapons and Explosives Offences,40,Southern Region,Number,621.0
RCD06C01,Recorded crimes,2020,2020,11,Weapons and Explosives Offences,IE0,State,Number,3092.0
RCD06C01,Recorded crimes,2020,2020,12,Damage to Property and to the Environment,10,Dublin Metropolitan Region,Number,7854.0
RCD06C01,Recorded crimes,2020,2020,12,Damage to Property and to the Environment,20,North Western Region,Number,3522.0
RCD06C01,Recorded crimes,2020,2020,12,Damage to Property and to the Environment,30,Eastern Region,Number,4280.0
RCD06C01,Recorded crimes,2020,2020,12,Damage to Property and to the Environment,40,Southern Region,Number,3870.0
RCD06C01,Recorded crimes,2020,2020,12,Damage to Property and to the Environment,IE0,State,Number,19526.0
RCD06C01,Recorded crimes,2020,2020,13,Public Order and other Social Code Offences,10,Dublin Metropolitan Region,Number,11481.0
RCD06C01,Recorded crimes,2020,2020,13,Public Order and other Social Code Offences,20,North Western Region,Number,5544.0
RCD06C01,Recorded crimes,2020,2020,13,Public Order and other Social Code Offences,30,Eastern Region,Number,5189.0
RCD06C01,Recorded crimes,2020,2020,13,Public Order and other Social Code Offences,40,Southern Region,Number,6812.0
RCD06C01,Recorded crimes,2020,2020,13,Public Order and other Social Code Offences,IE0,State,Number,29026.0
RCD06C01,Recorded crimes,2020,2020,15,"Offences against Government, Justice Procedures and Organisation of Crime",10,Dublin Metropolitan Region,Number,5149.0
RCD06C01,Recorded crimes,2020,2020,15,"Offences against Government, Justice Procedures and Organisation of Crime",20,North Western Region,Number,1480.0
RCD06C01,Recorded crimes,2020,2020,15,"Offences against Government, Justice Procedures and Organisation of Crime",30,Eastern Region,Number,2061.0
RCD06C01,Recorded crimes,2020,2020,15,"Offences against Government, Justice Procedures and Organisation of Crime",40,Southern Region,Number,2311.0
RCD06C01,Recorded crimes,2020,2020,15,"Offences against Government, Justice Procedures and Organisation of Crime",IE0,State,Number,11001.0
RCD06C01,Recorded crimes,2021,2021,1,Homicide Offences,10,Dublin Metropolitan Region,Number,19.0
RCD06C01,Recorded crimes,2021,2021,1,Homicide Offences,20,North Western Region,Number,12.0
RCD06C01,Recorded crimes,2021,2021,1,Homicide Offences,30,Eastern Region,Number,12.0
RCD06C01,Recorded crimes,2021,2021,1,Homicide Offences,40,Southern Region,Number,13.0
RCD06C01,Recorded crimes,2021,2021,1,Homicide Offences,IE0,State,Number,56.0
RCD06C01,Recorded crimes,2021,2021,2,Sexual Offences,10,Dublin Metropolitan Region,Number,1071.0
RCD06C01,Recorded crimes,2021,2021,2,Sexual Offences,20,North Western Region,Number,766.0
RCD06C01,Recorded crimes,2021,2021,2,Sexual Offences,30,Eastern Region,Number,901.0
RCD06C01,Recorded crimes,2021,2021,2,Sexual Offences,40,Southern Region,Number,792.0
RCD06C01,Recorded crimes,2021,2021,2,Sexual Offences,IE0,State,Number,3530.0
RCD06C01,Recorded crimes,2021,2021,3,"Attempts/Threats to Murder, Assaults, Harassment and Related offences",10,Dublin Metropolitan Region,Number,6731.0
RCD06C01,Recorded crimes,2021,2021,3,"Attempts/Threats to Murder, Assaults, Harassment and Related offences",20,North Western Region,Number,4414.0
RCD06C01,Recorded crimes,2021,2021,3,"Attempts/Threats to Murder, Assaults, Harassment and Related offences",30,Eastern Region,Number,4597.0
RCD06C01,Recorded crimes,2021,2021,3,"Attempts/Threats to Murder, Assaults, Harassment and Related offences",40,Southern Region,Number,4574.0
RCD06C01,Recorded crimes,2021,2021,3,"Attempts/Threats to Murder, Assaults, Harassment and Related offences",IE0,State,Number,20316.0
RCD06C01,Recorded crimes,2021,2021,4,Dangerous or Negligent Acts,10,Dublin Metropolitan Region,Number,2136.0
RCD06C01,Recorded crimes,2021,2021,4,Dangerous or Negligent Acts,20,North Western Region,Number,2149.0
RCD06C01,Recorded crimes,2021,2021,4,Dangerous or Negligent Acts,30,Eastern Region,Number,2039.0
RCD06C01,Recorded crimes,2021,2021,4,Dangerous or Negligent Acts,40,Southern Region,Number,1956.0
RCD06C01,Recorded crimes,2021,2021,4,Dangerous or Negligent Acts,IE0,State,Number,8280.0
RCD06C01,Recorded crimes,2021,2021,5,Kidnapping and Related Offences,10,Dublin Metropolitan Region,Number,43.0
RCD06C01,Recorded crimes,2021,2021,5,Kidnapping and Related Offences,20,North Western Region,Number,30.0
RCD06C01,Recorded crimes,2021,2021,5,Kidnapping and Related Offences,30,Eastern Region,Number,39.0
RCD06C01,Recorded crimes,2021,2021,5,Kidnapping and Related Offences,40,Southern Region,Number,36.0
RCD06C01,Recorded crimes,2021,2021,5,Kidnapping and Related Offences,IE0,State,Number,148.0
RCD06C01,Recorded crimes,2021,2021,6,"Robbery, Extortion and Hijacking Offences",10,Dublin Metropolitan Region,Number,1151.0
RCD06C01,Recorded crimes,2021,2021,6,"Robbery, Extortion and Hijacking Offences",20,North Western Region,Number,168.0
RCD06C01,Recorded crimes,2021,2021,6,"Robbery, Extortion and Hijacking Offences",30,Eastern Region,Number,229.0
RCD06C01,Recorded crimes,2021,2021,6,"Robbery, Extortion and Hijacking Offences",40,Southern Region,Number,190.0
RCD06C01,Recorded crimes,2021,2021,6,"Robbery, Extortion and Hijacking Offences",IE0,State,Number,1738.0
RCD06C01,Recorded crimes,2021,2021,7,Burglary and Related Offences,10,Dublin Metropolitan Region,Number,3585.0
RCD06C01,Recorded crimes,2021,2021,7,Burglary and Related Offences,20,North Western Region,Number,1378.0
RCD06C01,Recorded crimes,2021,2021,7,Burglary and Related Offences,30,Eastern Region,Number,2200.0
RCD06C01,Recorded crimes,2021,2021,7,Burglary and Related Offences,40,Southern Region,Number,1420.0
RCD06C01,Recorded crimes,2021,2021,7,Burglary and Related Offences,IE0,State,Number,8583.0
RCD06C01,Recorded crimes,2021,2021,8,Theft and Related Offences,10,Dublin Metropolitan Region,Number,25218.0
RCD06C01,Recorded crimes,2021,2021,8,Theft and Related Offences,20,North Western Region,Number,5180.0
RCD06C01,Recorded crimes,2021,2021,8,Theft and Related Offences,30,Eastern Region,Number,8367.0
RCD06C01,Recorded crimes,2021,2021,8,Theft and Related Offences,40,Southern Region,Number,8046.0
RCD06C01,Recorded crimes,2021,2021,8,Theft and Related Offences,IE0,State,Number,46811.0
RCD06C01,Recorded crimes,2021,2021,9,"Fraud, Deception and Related Offences",10,Dublin Metropolitan Region,Number,6173.0
RCD06C01,Recorded crimes,2021,2021,9,"Fraud, Deception and Related Offences",20,North Western Region,Number,3464.0
RCD06C01,Recorded crimes,2021,2021,9,"Fraud, Deception and Related Offences",30,Eastern Region,Number,3953.0
RCD06C01,Recorded crimes,2021,2021,9,"Fraud, Deception and Related Offences",40,Southern Region,Number,3585.0
RCD06C01,Recorded crimes,2021,2021,9,"Fraud, Deception and Related Offences",IE0,State,Number,17175.0
